,Client_Income,House_Own,Credit_Amount,Client_Marital_Status,Client_Gender,Age_Days,Employed_Days,Client_Family_Members
56,15735,1,50000,M,Female,21170,2601,4
57,6515,1,50000,M,Male,17520,3580,2
58,3977,1,60000,M,Female,9855,2094,4
59,14743,1,80000,M,Female,21535,14570,4
60,22103,1,60000,M,Male,7665,253,1
61,6603,0,60000,M,Female,12045,1001,3
62,15914,0,60000,M,Female,21900,6447,1
63,23369,1,100000,D,Male,13870,2302,3
64,8300,0,90000,D,Male,11315,146,1
65,15491,0,10000,M,Male,10950,3683,1
66,8959,1,70000,D,Male,18250,5495,4
67,6951,0,40000,S,Male,18980,8350,2
68,7197,0,30000,M,Male,17885,2849,2
69,22308,0,30000,S,Female,21535,9599,1
70,22392,0,90000,M,Female,17885,9305,1
71,7223,0,100000,S,Female,21170,13043,4
72,5557,1,90000,S,Male,7300,263,0
73,22256,1,70000,D,Male,7300,463,1
74,13206,1,80000,S,Female,14235,1555,0
75,10718,1,70000,M,Female,22630,12481,1
76,10540,1,10000,M,Female,10220,2163,3
77,10779,1,40000,S,Female,12775,594,3
78,11732,1,60000,S,Male,12775,1666,1
79,15407,1,60000,S,Male,6935,316,0
80,10707,0,10000,S,Male,13140,3409,1
81,7155,0,30000,M,Female,21900,5715,6
82,20705,1,60000,W,Female,18980,7896,0
83,7413,1,90000,D,Female,9125,1771,2
84,8622,1,80000,M,Male,10950,2623,3
85,4323,1,90000,M,Male,22265,8377,2
86,15755,0,40000,M,Female,10220,442,0
87,10994,0,10000,M,Male,14235,4808,1
88,7507,1,70000,D,Female,22630,1976,0
89,16711,0,100000,S,Male,16790,8695,0
90,4914,0,90000,S,Male,18980,7204,0
91,41006,0,70000,S,Male,9490,1059,0
92,15859,1,70000,M,Male,10220,2315,1
93,21307,1,20000,D,Female,22630,6966,1
94,9544,1,90000,M,Female,6570,0,3
95,12941,1,20000,M,Male,16790,6986,4
96,10478,1,100000,M,Male,14235,340,1
97,7421,1,60000,S,Male,10950,1963,4
98,14255,1,50000,S,Female,22630,11337,3
99,14118,0,100000,S,Male,13505,5695,2
100,5905,0,30000,W,Female,13505,5692,3
101,8070,0,5000,M,Male,7665,840,2
102,5687,0,40000,W,Male,22630,4444,3
103,13919,1,90000,M,Female,18615,11291,0
104,7659,1,90000,M,Male,14965,8199,1
105,10387,0,60000,S,Female,22630,13206,2
106,6982,1,70000,M,Male,21535,3479,3
107,11103,1,60000,S,Male,16790,1282,2
108,4646,1,10000,M,Female,21535,13236,0
109,6847,1,70000,W,Male,6570,0,1
110,9877,0,100000,S,Male,13140,2621,1
111,13031,1,5000,S,Male,13140,2710,1
112,14003,1,70000,M,Male,11680,5001,3
113,12784,1,30000,M,Male,8395,497,1
114,1793,0,20000,S,Male,13140,4291,1
115,8958,1,90000,S,Female,12045,1152,0
116,11104,1,5000,S,Female,8395,147,1
117,12776,1,60000,D,Male,6935,57,0
118,8481,1,20000,M,Male,17885,6655,0
119,26971,0,50000,W,Male,9490,2122,1
120,14472,1,40000,D,Male,13870,6471,1
121,25798,0,60000,M,Female,17155,7177,1
122,19175,1,20000,S,Female,8395,1176,0
123,5599,0,5000,S,Female,17885,10143,1
124,14119,0,10000,S,Female,8395,1395,2
125,5779,1,20000,M,Male,18980,1454,1
126,18089,1,90000,S,Male,20440,4382,1
127,13484,1,30000,M,Female,9125,2328,1
128,17424,1,100000,S,Male,12045,5347,1
129,6180,0,30000,S,Female,14600,5393,3
130,17060,0,80000,S,Male,15695,731,3
131,15304,1,80000,S,Female,17520,5743,1
132,5075,1,30000,M,Female,20440,8346,2
133,9790,1,10000,S,Female,16425,3682,0
134,4093,0,60000,S,Female,22630,14956,2
135,7375,1,40000,S,Female,12775,5007,2
136,5751,1,80000,M,Female,10950,3365,1
137,8753,0,100000,M,Female,12045,4535,0
138,14174,0,20000,M,Male,6935,19,0
139,27814,0,40000,S,Male,17520,6338,0
140,17887,1,50000,M,Female,11315,1101,2
141,10484,1,60000,S,Male,21900,8368,0
142,11254,0,100000,M,Female,6935,304,0
143,33398,1,50000,M,Male,11680,870,0
144,4102,0,40000,M,Female,21535,1252,3
145,7204,1,5000,M,Male,18615,11851,1
146,8171,1,50000,S,Male,11315,4579,3
147,12203,1,50000,S,Male,9855,2680,2
148,8691,1,50000,M,Male,17155,881,3
149,13319,1,70000,M,Female,9855,2274,2
150,11561,0,70000,D,Male,15330,5077,0
151,6507,1,50000,M,Male,11315,3514,3
152,14950,0,40000,D,Male,9125,691,1
153,10757,1,100000,S,Male,17885,5703,3
154,8992,0,40000,W,Female,10950,200,0
155,10439,1,50000,S,Female,10220,1087,0
156,5971,1,5000,M,Female,10220,3052,2
157,11568,1,20000,S,Female,20805,11431,0
158,14218,1,90000,M,Female,17520,10489,0
159,15207,1,5000,D,Female,18980,4124,1
160,8044,1,70000,M,Female,17155,4073,2
161,5772,0,60000,S,Male,13505,755,1
162,20517,1,10000,M,Male,13505,771,2
163,10198,1,40000,M,Female,20075,8627,3
164,7755,0,20000,M,Female,8030,34,3
165,11794,0,80000,M,Female,13140,4144,3
166,15050,0,70000,S,Female,18980,12387,2
167,24015,1,10000,M,Female,15695,251,4
168,8734,1,100000,M,Male,22265,7029,0
169,6024,1,90000,S,Female,19345,5682,1
170,34812,0,60000,M,Male,13870,2526,2
171,14904,1,80000,S,Male,10220,96,0
172,8164,0,80000,S,Male,13505,3158,6
173,27913,1,40000,M,Male,8395,1334,2
174,51026,1,100000,M,Male,6935,99,0
175,17036,1,50000,S,Female,8030,1390,1
176,12103,1,90000,M,Male,6935,45,0
177,25085,1,60000,M,Female,15330,7183,1
178,21232,1,90000,S,Male,16425,4324,3
179,9754,1,40000,D,Female,20075,9617,1
180,7193,0,80000,M,Female,9855,3161,1
181,8901,0,20000,W,Female,17885,5771,0
182,13467,1,5000,M,Female,9125,140,1
183,3849,0,40000,S,Male,7300,541,4
184,12146,1,90000,S,Male,9125,2258,3
185,7265,1,70000,M,Female,20805,2245,1
186,21055,1,5000,D,Male,22995,16304,0
187,19383,1,5000,S,Male,13870,4724,1
188,7121,1,70000,M,Male,13505,2579,0
189,17829,1,70000,S,Male,11680,473,3
190,12260,1,80000,D,Female,11680,3493,0
191,10927,1,100000,M,Female,12775,5821,1
192,11189,0,50000,M,Male,22995,9146,2
193,11827,1,5000,M,Female,6570,0,1
194,13290,0,90000,D,Female,18615,2113,3
195,13385,0,5000,M,Male,18980,6044,4
196,8881,0,30000,M,Male,13140,958,1
197,13697,0,50000,D,Male,13505,5768,0
198,22323,1,20000,S,Female,16790,8177,3
199,10879,1,60000,M,Male,19345,7399,1
200,12511,0,30000,W,Male,10220,3374,1
201,12609,0,30000,S,Male,11315,500,1
202,12674,0,80000,S,Male,7300,112,4
203,20024,1,100000,M,Female,19345,6336,4
204,27030,0,10000,M,Female,12775,5195,1
205,35048,1,5000,M,Male,11315,2189,2
206,5274,1,60000,M,Male,21900,1107,0
207,6022,1,90000,D,Female,8030,1116,1
208,8835,0,100000,M,Female,18980,9151,1
209,12601,1,5000,M,Male,20440,2385,1
210,11045,1,40000,M,Female,13140,3491,0
211,23427,0,70000,S,Female,12045,293,0
212,11989,1,90000,M,Female,21900,14804,1
213,13021,1,50000,S,Male,12045,4050,1
214,3505,0,90000,S,Male,14965,376,3
215,25190,1,80000,M,Female,6570,0,1
216,22611,0,10000,M,Female,20805,5617,3
217,13032,1,100000,M,Male,18980,6916,1
218,18574,0,10000,S,Female,13870,940,1
219,12045,1,60000,M,Male,17155,4519,1
220,8611,1,10000,D,Female,10220,2591,3
221,13242,1,60000,S,Male,15695,9020,2
222,14527,1,70000,S,Female,16790,5274,0
223,25226,0,40000,M,Male,22995,10149,0
224,17089,0,20000,S,Male,18980,6000,2
225,9113,1,50000,S,Female,17520,7549,1
226,12462,0,70000,M,Female,13870,7169,0
227,20867,1,100000,S,Female,7300,100,1
228,3687,1,5000,S,Male,18250,2956,0
229,6697,1,30000,M,Male,20075,1975,0
230,6836,1,5000,S,Male,7665,1020,0
231,23071,1,30000,S,Female,17885,7608,0
232,13576,0,80000,M,Male,17155,2524,0
233,15621,0,90000,S,Female,14965,1476,3
234,4920,1,5000,M,Male,11315,2821,4
235,6523,1,30000,D,Male,18250,10810,1
236,13569,0,80000,S,Female,17155,1521,3
237,12480,1,30000,M,Male,13505,2296,1
238,15576,1,50000,S,Male,13870,2300,3
239,23700,0,10000,S,Male,9490,670,0
240,13496,0,20000,S,Female,18250,9361,0
241,12076,1,90000,S,Female,19345,7305,1
242,24030,0,10000,S,Male,22995,5204,0
243,11847,0,30000,D,Female,9855,2505,3
244,28758,0,50000,M,Female,6935,217,1
245,13896,1,10000,M,Male,18980,2822,2
246,9644,0,20000,W,Female,6570,0,1
247,11492,1,30000,S,Female,22265,12382,1
248,11504,1,60000,M,Female,11315,3188,1
249,6914,0,60000,S,Female,13505,334,3
250,32381,1,5000,S,Male,20075,6423,4
251,13034,1,30000,M,Female,11315,2206,4
252,5055,1,30000,S,Male,21170,8883,3
253,9488,0,60000,S,Male,6570,0,0
254,8749,0,5000,S,Female,18615,1370,0
255,8535,1,90000,M,Female,19345,1159,0
256,11130,0,70000,D,Male,7665,236,1
257,22011,1,90000,S,Female,8395,1482,3
258,13671,1,20000,S,Female,12045,2544,0
259,13944,1,60000,S,Male,6935,253,1
260,15077,1,90000,S,Female,14600,4811,1
261,14536,1,80000,S,Female,22630,489,2
262,9769,0,90000,S,Male,14235,7087,0
263,27567,0,90000,M,Female,17885,10715,3
264,3676,1,40000,S,Male,14600,7142,4
265,6527,0,20000,M,Female,15330,4349,0
266,14266,0,100000,M,Male,11680,2702,3
267,15269,1,90000,M,Female,7665,225,2
268,14249,0,40000,D,Male,6570,0,2
269,9317,1,30000,S,Male,21900,4100,0
270,9129,0,90000,W,Male,22265,13590,1
271,9183,0,50000,M,Male,16425,1353,2
272,10782,1,5000,M,Female,13140,3814,4
273,9589,1,50000,M,Female,11680,2311,0
274,16068,1,100000,S,Male,15330,4269,1
275,15109,0,50000,M,Male,6935,147,1
276,7119,0,40000,M,Male,18250,3605,0
277,30849,0,90000,M,Male,13870,1530,1
278,19401,0,30000,M,Female,9125,1135,1
279,15112,1,100000,S,Male,10220,980,0
280,11619,0,30000,D,Male,19345,10861,2
281,11076,1,30000,M,Female,7665,84,0
282,13951,1,50000,S,Male,15695,8093,2
283,6967,0,30000,M,Male,7665,585,1
284,7921,1,10000,M,Female,8395,1598,3
285,11172,0,20000,M,Female,14965,7994,1
286,10048,1,80000,M,Female,6570,0,1
287,18654,0,50000,S,Female,13870,4572,3
288,15334,1,5000,M,Female,11315,3801,1
289,9102,1,50000,D,Male,9490,1231,6
290,24235,1,90000,M,Male,20805,5150,0
291,7187,1,60000,W,Male,16425,451,2
292,14542,1,5000,M,Male,17885,4840,1
293,11174,1,5000,S,Female,19345,8416,1
294,20520,1,100000,M,Female,12775,3177,0
295,7153,1,10000,M,Female,17155,2792,1
296,6671,1,100000,S,Male,20805,182,1
297,8387,0,20000,W,Male,17885,4377,4
298,15155,0,10000,M,Male,11315,3106,3
299,13533,0,10000,M,Male,10220,3599,0
300,7760,0,60000,M,Male,14600,568,2
301,17663,1,50000,S,Male,7665,1083,0
302,24075,1,20000,M,Male,7300,371,2
303,10875,1,40000,M,Male,21535,10731,0
304,14365,0,70000,M,Female,13140,6558,1
305,13753,0,100000,S,Male,19345,6292,3
306,8480,1,40000,S,Male,8395,546,1
307,36697,1,20000,M,Female,14235,2358,1
308,12873,1,5000,S,Male,10220,2202,1
309,38327,1,60000,M,Male,16425,6402,3
310,5765,0,50000,M,Male,14965,3372,0
311,15014,0,70000,M,Male,9125,2413,3
312,8473,0,40000,M,Male,9125,2000,0
313,8437,1,10000,M,Male,11680,4174,0
314,10366,0,100000,M,Female,9490,2630,3
315,15124,1,60000,D,Female,6935,41,1
316,8631,1,90000,W,Female,17885,9159,5
317,5014,0,5000,M,Female,18615,4704,0
318,14826,1,40000,W,Male,9855,2514,0
319,10687,1,100000,D,Male,17155,2861,1
320,9143,0,30000,D,Male,17520,5874,0
321,7090,0,5000,S,Female,13870,2495,1
322,10556,1,80000,M,Male,22995,11962,1
323,12948,1,40000,S,Male,17155,9855,0
324,28032,0,60000,D,Male,15330,2957,1
325,16992,1,80000,M,Male,10950,3869,0
326,15951,0,5000,M,Female,12775,3066,0
327,8968,1,20000,W,Female,9125,2014,1
328,10584,0,30000,M,Male,19345,1826,2
329,9367,0,50000,M,Male,18980,7174,1
330,15887,0,20000,M,Male,9855,721,3
331,9494,0,80000,S,Female,11680,289,1
332,15914,1,50000,M,Female,12775,866,3
333,18940,1,70000,M,Male,18615,4014,4
334,7827,1,5000,S,Male,16425,1888,1
335,30885,1,20000,S,Female,10220,3456,3
336,25361,0,40000,M,Female,12045,4439,3
337,6489,1,100000,M,Male,12775,5751,4
338,5266,1,30000,S,Male,14600,4456,1
339,14241,1,40000,D,Female,8030,289,0
340,9359,1,70000,S,Female,22265,3280,2
341,5842,1,100000,D,Female,20075,10767,1
342,7905,1,100000,D,Female,13505,5725,0
343,5667,0,20000,S,Male,20805,6938,3
344,8595,1,40000,M,Male,13870,6364,3
345,5498,1,30000,S,Female,18980,8857,0
346,18860,0,100000,S,Female,8395,1484,3
347,23633,0,100000,D,Female,22265,13679,2
348,12519,0,70000,M,Female,17885,576,1
349,29735,1,60000,M,Female,7300,232,1
350,11960,1,20000,M,Male,10220,1143,0
351,15962,0,20000,S,Female,11680,4123,5
352,14393,0,5000,W,Male,10220,600,3
353,12816,0,90000,S,Female,16790,5959,0
354,21090,1,60000,M,Female,18980,9384,0
355,20495,1,90000,S,Male,16425,5696,0
356,12512,0,5000,S,Male,9125,2121,0
357,10087,1,10000,M,Female,7665,776,1
358,6394,0,90000,S,Female,6935,168,0
359,10433,1,50000,D,Male,17520,5526,3
360,11478,0,50000,M,Male,12775,3417,1
361,18118,1,60000,S,Female,19345,11263,2
362,7468,0,10000,S,Female,13140,6213,1
363,24079,0,5000,M,Male,18980,2202,2
364,6826,0,70000,S,Male,21170,14302,1
365,25790,1,80000,S,Female,6935,183,1
366,22457,1,40000,M,Male,11680,3557,1
367,14139,1,30000,M,Male,19345,7833,0
368,21957,1,90000,S,Female,9490,966,1
369,17440,1,50000,M,Male,22265,10088,2
370,11430,1,80000,M,Male,14965,6807,1
371,24753,0,60000,M,Female,9125,2412,1
372,16102,1,70000,M,Female,14235,1692,3
373,13978,0,5000,D,Male,22265,13841,2
374,4877,1,100000,M,Male,6570,0,4
375,18804,1,90000,S,Female,11315,4590,3
376,15907,1,90000,D,Male,17885,8703,0
377,4174,1,30000,S,Female,17155,3260,0
378,19589,0,5000,D,Male,13870,756,1
379,17247,1,60000,M,Male,12775,588,1
380,14012,1,60000,S,Male,13505,6671,3
381,18230,0,80000,M,Female,16425,5863,1
382,26616,1,60000,M,Male,8030,89,1
383,14551,0,50000,W,Male,17520,9618,2
384,6368,1,50000,S,Male,22630,13937,1
385,10255,1,10000,M,Male,10220,2842,1
386,18537,0,90000,S,Male,8030,1348,4
387,19768,1,20000,M,Male,8030,692,1
388,11537,1,20000,D,Male,22630,8797,3
389,21117,1,100000,M,Female,18615,2883,0
390,12187,1,70000,M,Male,16790,8810,0
391,18971,1,60000,S,Male,8395,1351,3
392,9839,1,50000,S,Female,14965,4243,2
393,4537,0,10000,M,Male,8395,624,0
394,6702,1,20000,M,Male,15695,5022,1
395,17962,1,90000,M,Male,22630,7777,0
396,5680,0,90000,M,Male,9855,1658,1
397,8026,0,20000,S,Male,8030,175,1
398,28297,1,40000,W,Male,16425,2730,4
399,8729,1,80000,M,Male,16425,8681,0
400,16457,1,50000,M,Male,12775,3414,0
401,6304,1,100000,D,Male,20805,8806,4
402,7165,1,60000,W,Male,21170,2983,3
403,14008,1,50000,M,Male,11680,4195,0
404,12476,1,100000,S,Female,16425,1042,1
405,9214,0,30000,S,Female,9125,115,1
406,6892,1,80000,S,Male,20075,9051,0
407,3906,1,80000,M,Male,18615,9629,1
408,17255,1,40000,S,Female,17520,7412,1
409,15851,1,20000,S,Male,16425,9452,0
410,49227,1,30000,M,Female,17520,4917,0
411,18339,0,80000,M,Female,13870,2571,1
412,13518,0,20000,S,Male,9855,640,4
413,14464,0,20000,M,Female,19345,11426,1
414,5755,0,30000,M,Male,22995,1136,3
415,19242,0,90000,M,Female,7665,409,3
416,6366,1,30000,S,Male,10220,3081,0
417,20007,0,30000,M,Male,18980,4089,0
418,8405,1,40000,D,Female,11680,622,1
419,13912,0,30000,M,Female,12775,2875,0
420,14045,0,40000,M,Female,6570,0,3
421,13986,1,10000,S,Female,9855,249,2
422,10646,1,40000,M,Female,20440,7411,2
423,17881,0,40000,S,Female,11680,1018,2
424,22176,0,10000,S,Male,19345,5949,3
425,6525,1,100000,M,Female,14235,3945,1
426,19760,1,60000,M,Female,10220,1115,5
427,7127,1,30000,M,Female,12775,5165,2
428,20881,1,50000,M,Female,14965,7171,1
429,21560,1,70000,M,Female,8030,1052,1
430,9622,1,100000,D,Male,20440,10356,0
431,34249,1,60000,M,Female,13505,3837,0
432,34737,1,90000,S,Male,16425,7072,2
433,13999,0,30000,M,Female,11315,2795,1
434,8937,1,90000,M,Female,12045,2271,1
435,11018,0,80000,D,Female,18250,6944,1
436,15242,0,5000,M,Female,15695,4702,3
437,21183,1,40000,M,Female,22995,6500,4
438,7911,1,70000,S,Female,13870,6939,1
439,10396,0,40000,M,Female,9125,1228,2
440,15758,1,30000,M,Female,19345,3728,0
441,6051,1,40000,M,Female,20440,7234,0
442,5874,1,60000,S,Female,18250,6029,1
443,39132,1,20000,M,Male,6935,191,4
444,8217,1,100000,S,Male,6935,230,1
445,16372,0,10000,M,Male,14235,5950,1
446,14156,1,10000,M,Male,11315,1134,2
447,9080,1,80000,M,Female,9855,198,1
448,16973,1,100000,S,Female,18980,5914,0
449,21827,1,100000,M,Male,6935,31,2
450,9930,0,30000,S,Female,22265,13568,0
451,12046,1,50000,M,Male,11680,2371,0
452,16052,1,40000,W,Female,14965,5143,1
453,14680,1,100000,M,Male,21170,11557,0
454,9226,1,5000,M,Female,21900,14851,2
455,42206,1,60000,S,Male,18615,1254,1
456,16948,0,30000,S,Female,8395,378,1
457,16868,0,50000,S,Male,9490,2756,2
458,7527,1,60000,M,Male,19345,3070,1
459,7992,1,50000,M,Male,18250,11156,1
460,7438,1,100000,D,Male,14235,4970,1
461,8092,0,90000,M,Female,11680,1984,3
462,4153,1,40000,M,Female,13870,5042,0
463,13531,1,90000,S,Male,7665,282,3
464,10579,1,20000,M,Female,19345,3321,1
465,7653,1,50000,M,Male,13505,1707,1
466,6748,0,100000,M,Female,9490,2544,0
467,28836,0,100000,S,Male,13505,1147,0
468,27832,1,40000,M,Female,14600,6105,1
469,10014,1,5000,M,Male,14235,7535,0
470,6646,0,5000,D,Male,7300,624,1
471,22649,1,20000,S,Male,9855,2437,1
472,15417,1,80000,M,Male,8030,746,0
473,21972,1,30000,M,Male,12775,4591,4
474,11797,0,40000,S,Male,11680,3950,3
475,28206,1,5000,S,Male,6935,54,3
476,4090,1,100000,D,Male,9490,2789,3
477,13026,0,10000,D,Male,20075,689,5
478,4734,1,60000,M,Male,13870,2269,0
479,10102,0,60000,M,Female,13140,2489,2
480,23471,1,10000,M,Male,10220,1956,4
481,7135,1,40000,M,Male,6570,0,0
482,20439,1,50000,M,Female,13505,3559,0
483,16094,0,100000,W,Female,14965,4648,2
484,5393,0,60000,D,Female,20440,9958,4
485,18153,1,100000,M,Female,16425,2980,0
486,9250,1,80000,M,Male,15330,6473,1
487,12425,0,40000,M,Female,7665,30,2
488,7739,1,60000,S,Female,6570,0,0
489,13337,0,20000,M,Male,14600,2301,1
490,7919,0,5000,M,Male,11680,4388,1
491,11895,1,70000,S,Female,17155,5555,3
492,7855,1,5000,M,Female,6570,0,1
493,14626,0,20000,M,Female,6935,166,3
494,19935,0,60000,S,Female,8395,989,1
495,54465,1,20000,M,Female,9125,1367,0
496,12113,0,100000,M,Male,13140,1100,1
497,72595,0,100000,S,Female,18615,7030,0
498,6582,1,100000,M,Female,15695,4586,0
499,20246,0,60000,M,Male,6935,169,3
500,2485,0,100000,M,Male,12775,722,1
501,16642,1,80000,M,Female,13870,1721,1
502,20947,1,80000,S,Female,22265,7763,0
503,15948,1,50000,S,Male,9490,924,0
504,13783,0,50000,M,Female,20440,11060,1
505,6539,1,70000,M,Female,11680,1062,1
506,23790,1,5000,M,Female,21170,5880,3
507,8953,1,100000,W,Male,18615,4151,2
508,20164,1,20000,D,Male,13140,2559,1
509,22965,1,60000,M,Female,14235,128,0
510,11295,1,30000,M,Female,21900,14284,1
511,14084,1,30000,S,Female,16425,7563,1
512,5696,0,60000,S,Female,6570,0,1
513,15975,0,80000,S,Female,10220,2908,0
514,10175,1,5000,S,Male,18980,4469,3
515,18792,0,90000,S,Male,12045,1554,1
516,17681,1,100000,S,Female,20805,11309,2
517,7946,0,10000,M,Male,6570,0,0
518,14192,1,10000,M,Male,17885,10615,0
519,8843,1,60000,S,Male,20075,9649,2
520,8551,0,100000,M,Male,14235,2745,0
521,4417,0,100000,D,Male,17520,9768,3
522,13870,0,30000,M,Male,19345,9642,1
523,13563,1,30000,S,Male,22630,12244,0
524,14120,1,70000,S,Female,14965,7110,1
525,11817,1,40000,D,Male,7300,400,1
526,38355,0,70000,S,Male,13140,5354,1
527,17155,1,60000,M,Male,7300,489,3
528,19776,0,10000,D,Male,12045,2278,2
529,6449,0,5000,S,Female,11680,3486,1
530,13349,1,10000,M,Female,17155,1567,2
531,8860,1,100000,M,Male,18615,10007,0
532,8509,1,40000,M,Female,11315,4102,0
533,17364,1,10000,M,Female,9855,1877,0
534,15853,0,80000,S,Female,18615,596,1
535,9383,1,90000,S,Female,18250,4953,1
536,7933,0,60000,M,Male,7665,169,4
537,19255,0,30000,S,Male,9855,420,2
538,6722,1,100000,S,Male,18980,4446,1
539,13297,1,20000,M,Female,7665,129,2
540,28465,0,10000,M,Male,18980,3122,1
541,7531,1,20000,M,Female,13870,4985,1
542,15952,1,30000,S,Male,14235,2205,2
543,16984,1,100000,S,Male,12775,1403,3
544,18546,0,40000,M,Male,10950,1237,1
545,13640,1,40000,S,Female,11680,1253,2
546,7510,1,40000,S,Male,12775,5760,1
547,6716,1,90000,M,Female,6935,237,3
548,12432,0,40000,W,Male,19345,3579,2
549,20229,1,10000,M,Male,13870,5050,4
550,6628,1,80000,S,Male,13140,2646,0
551,10317,0,40000,S,Female,7300,721,1
552,10362,1,90000,M,Female,10220,832,0
553,14682,0,50000,M,Female,18250,7515,5
554,11486,1,60000,M,Male,21170,3990,1
555,11138,0,20000,M,Male,20440,881,1
556,7059,0,20000,S,Female,20805,13673,1
557,10740,1,50000,S,Female,10220,999,5
558,11622,1,30000,M,Female,21535,10155,1
559,13827,0,60000,M,Female,9125,848,2
560,11008,0,80000,M,Female,7300,243,1
561,9248,1,40000,S,Female,21170,11192,0
562,12201,0,90000,M,Female,16425,8084,0
563,8293,1,70000,M,Male,18250,998,0
564,10609,1,20000,M,Male,18615,8249,2
565,12462,1,30000,S,Female,9125,2468,2
566,13742,1,80000,M,Male,16425,4821,0
567,35061,0,80000,M,Female,21535,2681,3
568,29574,1,5000,M,Female,21535,9830,0
569,24453,0,40000,M,Female,7300,294,1
570,7246,1,100000,W,Female,7300,371,0
571,17744,1,60000,D,Female,8030,641,2
572,10670,0,5000,M,Male,20440,7670,4
573,22455,0,90000,M,Female,10950,396,1
574,14800,1,40000,M,Female,20805,3425,2
575,8478,0,90000,S,Male,13870,6561,0
576,15059,1,70000,M,Male,10950,1015,1
577,15619,1,10000,M,Female,9125,1817,1
578,18747,1,40000,W,Male,14965,3189,1
579,14235,0,70000,S,Male,11680,2836,2
580,24812,1,5000,M,Male,17520,1283,1
581,14285,1,60000,S,Female,9490,1031,4
582,12314,1,90000,M,Male,9855,549,0
583,7451,1,100000,D,Male,10950,2198,5
584,37670,1,10000,M,Male,6935,27,0
585,11934,1,20000,M,Male,9125,1682,2
586,21068,1,20000,M,Female,16425,4772,0
587,4412,0,100000,M,Female,20805,9777,6
588,16569,1,30000,M,Female,11680,1400,3
589,8816,1,30000,D,Female,18980,6240,1
590,6412,0,30000,M,Female,21535,10385,1
591,7404,1,5000,M,Female,9855,2070,3
592,13178,0,70000,M,Female,19345,1720,1
593,17035,1,20000,S,Female,9490,2225,3
594,22307,1,70000,S,Female,21170,8936,0
595,13371,0,20000,M,Female,12775,1247,2
596,7692,0,60000,S,Female,7300,192,2
597,10534,1,40000,S,Female,13505,4261,3
598,9592,0,90000,S,Male,7300,535,3
599,9256,0,20000,M,Female,18615,2440,3
600,10628,1,10000,S,Male,15330,2252,0
601,21029,1,30000,M,Female,21170,4835,0
602,7096,0,40000,M,Male,14235,3025,1
603,18963,1,100000,S,Male,8395,859,1
604,8136,0,90000,S,Male,21535,13851,2
605,5236,1,90000,S,Female,13870,6282,4
606,19315,0,10000,S,Male,10220,3420,1
607,4401,0,20000,M,Male,13505,2815,2
608,11053,1,90000,S,Female,8030,970,2
